IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
208.67.105.251,443,443,true,AMS,Europe,Amsterdam,380,0.02
2.59.183.197,443,443,true,AMS,Europe,Amsterdam,323,0.02
51.20.99.157,443,443,true,OSL,Europe,Oslo,264,0.02
192.236.249.98,443,443,true,AMS,Europe,Amsterdam,372,0.02
195.133.13.93,443,443,true,FRA,Europe,Frankfurt,265,0.02
91.90.193.24,443,443,true,GVA,Europe,Geneva,223,0.02
213.226.126.87,443,443,true,DME,Europe,Moscow,321,0.02
193.106.150.112,443,443,true,AMS,Europe,Amsterdam,286,0.02
107.182.130.251,443,443,true,AMS,Europe,Amsterdam,346,0.02
188.116.21.35,443,443,true,AMS,Europe,Amsterdam,270,0.02
172.96.188.117,443,443,true,EWR,North America,Newark,266,0.02
37.1.205.116,443,443,true,AMS,Europe,Amsterdam,340,0.02
107.182.129.141,443,443,true,AMS,Europe,Amsterdam,338,0.01
45.85.93.49,443,443,true,MXP,Europe,Milan,237,0.01
162.62.120.236,443,443,true,FRA,Europe,Frankfurt,282,0.01
139.45.214.58,443,443,true,VIE,Europe,Vienna,258,0.01
185.254.199.160,443,443,true,AMS,Europe,Amsterdam,263,0.01
147.45.134.48,443,443,true,AMS,Europe,Amsterdam,357,0.01
208.67.105.2,443,443,true,AMS,Europe,Amsterdam,335,0.01
208.67.105.21,443,443,true,AMS,Europe,Amsterdam,383,0.01
130.162.239.205,443,443,true,FRA,Europe,Frankfurt,283,0.00
185.225.68.232,443,443,true,VIE,Europe,Vienna,226,0.00
152.67.231.219,443,443,true,SJC,North America,San Jose,222,0.00
54.213.214.160,443,443,true,SEA,North America,Seattle,314,0.00
103.75.188.126,443,443,true,KUL,Asia Pacific,Kuala Lumpur,174,0.00
18.130.168.34,443,443,true,LHR,Europe,London,264,0.00
20.246.127.166,443,443,true,IAD,North America,Ashburn,272,0.00
18.237.22.14,443,443,true,SEA,North America,Seattle,304,0.00
